# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_oldruins
# Exported by: Blockmaster2706
setting:	replacespawns 0
weapon_ttt_smokegrenade	805.276001 -2129.979980 -618.151001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-186.494003 -116.681000 -616.151001	0.000 0.000 0.000
weapon_ttt_smokegrenade	766.125000 -1166.939941 -250.151001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-88.628799 -388.787994 -890.151001	0.000 0.000 0.000
item_ammo_smg1_ttt	789.773987 -2125.000000 -618.414001	0.000 0.000 0.000
item_ammo_smg1_ttt	-102.000000 -400.000000 -890.414001	0.000 273.500 0.000
item_ammo_smg1_ttt	1569.000000 2023.000000 -891.528992	0.000 0.000 0.000
item_ammo_smg1_ttt	559.932007 -941.348022 -1187.660034	0.000 0.000 0.000
item_ammo_smg1_ttt	214.584000 -1371.239990 -1231.660034	0.000 0.000 0.000
item_ammo_smg1_ttt	186.164993 -1368.130005 -1231.660034	0.000 0.000 0.000
item_ammo_smg1_ttt	1316.489990 -490.566010 -1231.660034	0.000 0.000 0.000
item_ammo_smg1_ttt	1288.069946 -487.455994 -1231.660034	0.000 0.000 0.000
item_ammo_smg1_ttt	761.323792 72.571243 -895.608337	-0.110 0.005 0.061
item_ammo_smg1_ttt	759.924866 46.783188 -895.489624	0.338 -0.011 -0.283
item_ammo_smg1_ttt	741.817627 74.203644 -895.500183	0.839 -0.011 -0.626
item_ammo_smg1_ttt	742.126404 44.481625 -895.600708	-0.153 0.005 0.091
item_ammo_smg1_ttt	721.243164 72.243629 -895.484680	0.254 -0.014 -0.222
item_ammo_smg1_ttt	719.421082 41.514610 -895.478577	0.221 -0.015 -0.193
item_ammo_smg1_ttt	694.379333 75.734810 -895.598267	-0.171 0.005 0.103
item_ammo_smg1_ttt	693.034912 40.524143 -895.582031	-0.379 0.005 0.243
item_ammo_smg1_ttt	669.193726 75.474976 -895.499695	0.841 -0.012 -0.629
item_ammo_smg1_ttt	670.107056 47.538223 -895.502686	0.864 0.013 -0.641
item_ammo_smg1_ttt	643.990234 76.210770 -895.517334	-0.380 -0.001 -0.368
item_ammo_smg1_ttt	639.886108 44.285923 -895.498718	0.828 -0.011 -0.620
weapon_ttt_m16	578.728027 2385.340088 -419.316986	0.000 0.000 0.000
weapon_ttt_m16	-192.404999 -147.753998 -616.202026	0.000 88.500 0.000
weapon_ttt_m16	589.679016 -757.757996 -1227.319946	0.000 88.500 0.000
weapon_ttt_m16	519.661011 -1003.630005 -1183.319946	0.000 0.000 0.000
weapon_ttt_m16	-100.051003 -80.661301 -1227.319946	0.000 0.000 0.000
weapon_ttt_m16	810.851013 -2093.389893 -618.202026	0.000 272.000 0.000
weapon_ttt_m16	1701.390015 -203.546997 -1227.319946	0.000 88.500 0.000
weapon_ttt_m16	1014.390015 1365.760010 -1243.319946	0.000 88.500 0.000
weapon_ttt_m16	499.777008 -262.684998 -1227.319946	0.000 88.500 0.000
item_box_buckshot_ttt	767.473999 -113.917999 -1229.510010	0.000 0.000 0.000
item_box_buckshot_ttt	510.423004 -566.659973 -1205.000000	0.000 0.000 0.000
item_box_buckshot_ttt	1034.770020 -856.169006 -894.591980	0.000 0.000 0.000
item_box_buckshot_ttt	1017.710022 -854.427979 -894.591980	0.000 0.000 0.000
item_box_buckshot_ttt	866.043030 -1188.109985 -1230.589966	0.000 0.000 0.000
item_box_buckshot_ttt	883.109009 -1189.849976 -1230.589966	0.000 0.000 0.000
item_box_buckshot_ttt	1564.310059 2065.949951 -893.510986	0.000 271.500 0.000
item_box_buckshot_ttt	496.509003 -2104.659912 -1231.709961	0.000 0.000 0.000
item_box_buckshot_ttt	477.941010 -2111.189941 -1229.510010	0.000 0.000 0.000
item_box_buckshot_ttt	509.815002 -1073.000000 -1185.510010	0.000 0.000 0.000
item_box_buckshot_ttt	882.505981 1034.160034 -1253.000000	0.000 294.000 0.000
item_box_buckshot_ttt	841.671021 -1640.150024 -1229.510010	0.000 0.000 0.000
item_box_buckshot_ttt	1284.650024 -84.712898 -1229.510010	0.000 0.000 0.000
item_box_buckshot_ttt	-30.071297 -301.203613 -687.549561	-0.490 -0.007 0.435
item_box_buckshot_ttt	-31.196354 -313.990326 -687.630127	0.776 0.008 -0.536
weapon_zm_rifle	1432.000000 -582.000000 -1206.040039	0.000 0.000 0.000
weapon_zm_rifle	577.000000 -666.000000 -1207.000000	6.882 84.353 -77.503
weapon_zm_rifle	520.000000 -711.000000 -1169.000000	-14.718 120.151 -94.349
weapon_zm_rifle	610.000000 2401.340088 -1252.930054	0.000 179.000 0.000
weapon_zm_rifle	1813.000000 -1055.000000 -1228.930054	0.000 272.000 0.000
weapon_zm_rifle	912.000000 -453.000000 -1085.400024	-1.000 270.026 -91.500
weapon_zm_rifle	601.697937 2381.515137 -126.709534	0.260 -5.022 -88.918
weapon_zm_rifle	690.948608 -1247.141357 -254.641098	2.983 14.030 67.191
weapon_zm_rifle	776.137329 -1198.923584 -248.727554	-1.375 88.172 -94.560
weapon_zm_rifle	15.958617 -41.625710 -318.710541	0.270 -5.466 -88.894
weapon_zm_mac10	193.608994 -1337.689941 -1227.530029	0.000 0.000 0.000
weapon_zm_mac10	-84.000000 -392.000000 -890.414001	0.000 273.500 0.000
weapon_zm_mac10	1568.000000 2040.000000 -891.528992	0.000 0.000 0.000
weapon_zm_mac10	789.122009 -2111.479980 -618.414001	0.000 0.000 0.000
weapon_zm_mac10	526.000000 -964.000000 -1183.530029	0.000 0.000 0.000
weapon_zm_mac10	1295.510010 -457.015991 -1227.530029	0.000 0.000 0.000
item_ammo_357_ttt	1416.000000 -590.000000 -1206.040039	0.000 0.000 0.000
item_ammo_357_ttt	1398.000000 -590.000000 -1207.719971	0.000 0.000 0.000
item_ammo_357_ttt	514.763000 -606.000000 -1192.000000	0.000 0.000 0.000
item_ammo_357_ttt	531.512024 -605.898010 -1201.250000	0.000 0.000 0.000
item_ammo_357_ttt	478.492004 -693.814026 -1171.630005	0.000 38.000 0.000
item_ammo_357_ttt	490.428009 -708.844971 -1170.949951	0.000 38.000 0.000
item_ammo_357_ttt	629.343018 2391.000000 -1254.609985	0.000 179.000 0.000
item_ammo_357_ttt	611.346008 2391.310059 -1252.930054	0.000 179.000 0.000
item_ammo_357_ttt	1806.310059 -1033.140015 -1230.609985	0.000 272.000 0.000
item_ammo_357_ttt	1820.489990 -1032.780029 -1230.609985	0.000 272.000 0.000
item_ammo_357_ttt	654.580078 2374.633789 -127.617302	0.460 0.055 0.035
item_ammo_357_ttt	618.083313 2360.347900 -127.655586	0.453 0.061 0.050
item_ammo_357_ttt	786.900513 -1169.012329 -254.476868	0.153 -0.099 0.339
item_ammo_357_ttt	786.199768 -1189.230103 -254.490356	0.082 -0.104 0.412
item_ammo_357_ttt	31.067902 -98.439285 -319.667542	0.450 0.064 0.055
item_ammo_357_ttt	-11.362619 -68.716705 -319.631592	0.457 0.057 0.041
item_ammo_pistol_ttt	970.728027 44.062901 -617.137024	0.000 0.000 0.000
item_ammo_pistol_ttt	-135.770996 -32.344501 -619.137024	0.000 0.000 0.000
item_ammo_pistol_ttt	574.023010 2369.750000 -423.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-176.942993 -152.865997 -620.604980	0.000 88.500 0.000
item_ammo_pistol_ttt	605.140991 -762.869995 -1231.719971	0.000 88.500 0.000
item_ammo_pistol_ttt	527.497009 -1027.739990 -1187.719971	0.000 0.000 0.000
item_ammo_pistol_ttt	-104.761002 -96.250298 -1231.719971	0.000 0.000 0.000
item_ammo_pistol_ttt	795.106995 -2089.219971 -622.604980	0.000 272.000 0.000
item_ammo_pistol_ttt	1716.849976 -208.658997 -1231.719971	0.000 88.500 0.000
item_ammo_pistol_ttt	1029.849976 1360.650024 -1247.719971	0.000 88.500 0.000
item_ammo_pistol_ttt	515.239014 -267.796997 -1231.719971	0.000 88.500 0.000
item_ammo_pistol_ttt	842.745850 69.025131 -895.674438	-0.151 -0.018 -0.046
item_ammo_pistol_ttt	840.893860 34.364609 -895.643555	-0.124 -0.019 -0.038
item_ammo_pistol_ttt	829.321533 74.631927 -895.635193	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	828.150085 34.685005 -895.643555	-0.124 -0.019 -0.038
item_ammo_pistol_ttt	814.902039 78.091766 -895.685181	-0.161 -0.017 -0.049
item_ammo_pistol_ttt	814.589661 38.831306 -895.616394	-0.101 -0.020 -0.030
item_ammo_pistol_ttt	801.954773 78.901169 -895.650146	-0.130 -0.019 -0.039
item_ammo_pistol_ttt	801.517761 43.412800 -895.666748	-0.145 -0.018 -0.044
item_ammo_pistol_ttt	789.546570 77.933411 -895.659424	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	790.425842 44.160702 -895.586365	-0.074 -0.020 -0.022
item_ammo_pistol_ttt	780.592102 77.746529 -895.631226	-0.114 -0.020 -0.034
item_ammo_pistol_ttt	781.574707 45.558346 -895.623596	-0.107 -0.020 -0.032
weapon_zm_molotov	1146.359985 668.132996 -891.265991	0.000 0.000 0.000
weapon_zm_molotov	566.184998 2302.000000 -265.776001	0.000 0.000 0.000
weapon_zm_molotov	526.728027 -624.091980 -1196.000000	0.000 0.000 0.000
weapon_zm_molotov	530.148987 -688.898987 -1194.949951	0.000 0.000 0.000
weapon_zm_molotov	801.986023 -2098.290039 -618.151001	0.000 0.000 0.000
weapon_zm_molotov	794.784973 -2100.520020 -618.151001	0.000 0.000 0.000
weapon_zm_molotov	-167.065002 -114.672997 -616.151001	0.000 0.000 0.000
weapon_zm_molotov	-188.264008 -133.979996 -616.151001	0.000 0.000 0.000
weapon_zm_molotov	-167.417999 -133.378006 -616.151001	0.000 0.000 0.000
weapon_zm_molotov	785.554016 -1164.930054 -250.151001	0.000 0.000 0.000
weapon_zm_molotov	764.354980 -1184.239990 -250.151001	0.000 0.000 0.000
weapon_zm_molotov	785.200989 -1183.640015 -250.151001	0.000 0.000 0.000
weapon_zm_molotov	1015.820007 -864.289001 -890.151001	0.000 0.000 0.000
weapon_zm_molotov	1055.930054 -844.286011 -890.151001	0.000 0.000 0.000
weapon_zm_molotov	808.903015 -2117.500000 -618.151001	0.000 0.000 0.000
weapon_zm_molotov	868.090027 -1199.599976 -1226.150024	0.000 0.000 0.000
weapon_zm_molotov	886.739014 -1199.780029 -1226.150024	0.000 0.000 0.000
weapon_zm_molotov	1578.479980 2055.429932 -891.265991	0.000 0.000 0.000
weapon_zm_molotov	1567.300049 2055.820068 -891.265991	0.000 0.000 0.000
weapon_zm_molotov	1567.329956 2047.310059 -891.265991	0.000 0.000 0.000
weapon_zm_molotov	1579.020020 2048.399902 -891.265991	0.000 0.000 0.000
weapon_zm_molotov	498.247986 -743.291016 -1175.430054	0.000 0.000 0.000
weapon_zm_molotov	492.675995 -679.666992 -1173.069946	0.000 0.000 0.000
weapon_zm_molotov	-72.648697 -413.914001 -890.151001	0.000 0.000 0.000
weapon_zm_molotov	688.208984 2395.659912 -831.265991	0.000 0.000 0.000
weapon_zm_molotov	588.406006 2378.870117 -1250.160034	0.000 0.000 0.000
weapon_zm_molotov	587.864014 2390.399902 -1250.160034	0.000 0.000 0.000
weapon_zm_molotov	1825.140015 -1086.540039 -1226.150024	0.000 0.000 0.000
weapon_zm_molotov	1799.489990 -1084.520020 -1226.150024	0.000 0.000 0.000
