# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_residentevil2_se
# Exported by: niclas
setting:	replacespawns 1
weapon_ttt_smokegrenade	493.942810 922.623291 452.534271	1.397 0.011 -1.220
weapon_ttt_smokegrenade	494.614716 908.114014 452.503204	0.263 0.003 0.087
weapon_ttt_smokegrenade	-5.956875 878.893677 276.509308	0.298 0.002 0.044
weapon_ttt_smokegrenade	-164.583878 526.811584 134.531509	0.982 0.012 -0.769
weapon_ttt_smokegrenade	-132.575836 533.122925 134.555542	3.558 -0.098 -3.694
weapon_ttt_smokegrenade	25.128202 486.460144 44.536583	2.413 -0.005 -2.330
weapon_ttt_smokegrenade	-599.375732 -43.957607 36.612820	1.975 -0.120 -2.028
weapon_ttt_smokegrenade	-575.104797 419.482117 -171.386978	2.028 -0.122 -2.089
weapon_ttt_smokegrenade	-586.353943 414.254944 -171.374985	1.668 -0.117 -1.715
ttt_random_weapon	546.183899 697.794617 -174.787857	1.738 4.926 -92.910	auto_ammo 2
ttt_random_weapon	589.187683 697.895142 -174.804413	1.925 4.924 -92.483	auto_ammo 2
ttt_random_weapon	550.533752 662.642090 -174.802078	1.899 4.927 -92.543	auto_ammo 2
ttt_random_weapon	585.239075 650.351685 -174.778076	1.628 4.921 -93.163	auto_ammo 2
ttt_random_weapon	1454.652954 1280.581177 67.232185	1.512 4.912 -93.429	auto_ammo 2
ttt_random_weapon	1962.738159 1297.187866 67.231201	1.523 4.913 -93.404	auto_ammo 2
ttt_random_weapon	1330.822144 662.359497 273.208130	1.784 4.928 -92.806	auto_ammo 2
ttt_random_weapon	1263.318848 949.861633 273.226593	1.575 4.917 -93.284	auto_ammo 2
ttt_random_weapon	1455.259277 421.873016 273.226257	1.579 4.918 -93.276	auto_ammo 2
ttt_random_weapon	1424.274292 446.379761 273.219879	1.651 4.923 -93.110	auto_ammo 2
ttt_random_weapon	1912.093262 640.076660 273.217499	1.678 4.766 -93.049	auto_ammo 2
ttt_random_weapon	1982.869507 1123.515869 273.224518	1.599 4.630 -93.230	auto_ammo 2
ttt_random_weapon	2104.486328 722.756592 67.231453	1.520 4.913 -93.410	auto_ammo 2
ttt_random_weapon	2185.961182 276.870392 67.241920	1.401 4.901 -93.682	auto_ammo 2
ttt_random_weapon	1754.334106 324.370209 65.216499	1.689 4.985 -93.023	auto_ammo 2
ttt_random_weapon	1540.736328 34.237064 65.238640	1.439 4.967 -93.597	auto_ammo 2
ttt_random_weapon	1789.318359 -109.503166 65.213966	1.718 5.941 -92.958	auto_ammo 2
ttt_random_weapon	1561.471191 1.836533 273.191742	1.169 4.335 -93.308	auto_ammo 2
ttt_random_weapon	1564.509277 -119.786964 273.207336	1.793 4.710 -92.786	auto_ammo 2
ttt_random_weapon	1495.943604 238.656113 273.667603	-1.209 -18.822 83.874	auto_ammo 2
ttt_random_weapon	1383.781860 -109.327423 273.206085	1.807 4.766 -92.754	auto_ammo 2
ttt_random_weapon	956.563965 -113.307030 273.199890	1.876 4.780 -92.594	auto_ammo 2
ttt_random_weapon	613.640320 -118.183746 273.207062	1.796 6.210 -92.779	auto_ammo 2
ttt_random_weapon	606.932495 8.234412 273.207916	1.786 4.774 -92.801	auto_ammo 2
ttt_random_weapon	880.126953 314.186737 273.208527	1.779 4.773 -92.817	auto_ammo 2
