# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_rooftops_2016_v1
# Exported by: niclas
setting:	replacespawns 1
weapon_ttt_smokegrenade	505.287994 2198.669922 305.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	489.855988 2198.899902 305.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	718.000000 2352.000000 318.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	149.800995 2552.739990 304.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	403.894989 2250.560059 422.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1888.959961 1706.109985 773.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1782.949951 1700.430054 389.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	2708.000000 1456.000000 773.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	3395.919922 2404.189941 645.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	3088.000000 1248.000000 453.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1801.469971 1086.300049 261.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1590.699951 90.849297 71.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1578.079956 89.200996 71.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1942.680054 -192.332001 390.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1905.699951 32.869701 390.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	920.000000 -1440.000000 581.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	465.270996 -1060.300049 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	159.960999 81.726501 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	-111.920998 -101.806999 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	762.304993 -23.528500 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1262.140015 396.980011 389.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-712.799011 -12.701500 -184.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	-707.219971 -796.322021 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1197.000000 -180.000000 99.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1244.079956 -52.781601 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	786.000000 32.000000 110.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1322.000000 126.000000 82.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1318.000000 234.000000 81.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	2932.000000 1240.000000 1288.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	2549.669922 632.203979 375.148010	0.000 0.000 0.000
weapon_ttt_smokegrenade	2528.000000 -131.000000 371.399994	0.000 0.000 0.000
weapon_ttt_smokegrenade	1902.560059 -45.135201 110.203003	0.000 355.500 0.000
weapon_ttt_smokegrenade	3808.000000 2392.000000 420.316986	0.000 0.000 0.000
weapon_ttt_smokegrenade	3156.000000 -869.000000 323.487000	0.000 0.000 0.000
ttt_random_weapon	1369.000000 206.000000 69.000000	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	1320.000000 114.000000 84.000000	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	1369.000000 147.000000 72.000000	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	1320.000000 244.000000 104.000000	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	1320.000000 244.000000 142.000000	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	1320.000000 116.000000 104.000000	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	1088.000000 424.000000 71.372902	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	612.000000 24.000000 73.372902	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	872.000000 128.000000 105.247002	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	1160.000000 -220.000000 73.372902	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	2000.000000 318.000000 73.372902	0.000 270.000 0.000	auto_ammo 2
ttt_random_weapon	1816.000000 312.000000 104.000000	0.000 270.000 0.000	auto_ammo 2
ttt_random_weapon	2160.000000 380.000000 88.584198	0.000 270.000 0.000	auto_ammo 2
ttt_random_weapon	1974.000000 -188.000000 73.372902	0.000 270.000 0.000	auto_ammo 2
ttt_random_weapon	2140.000000 -342.000000 73.372902	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	1980.000000 160.000000 92.000000	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	1193.000000 -71.396400 92.000000	0.000 90.000 0.000	auto_ammo 2
ttt_random_weapon	3890.330078 2529.080078 393.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	3766.000000 2392.000000 393.372986	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-691.601990 8.838470 -181.626999	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	-656.000000 -16.000000 -181.626999	0.000 270.000 0.000	auto_ammo 2
ttt_random_weapon	-796.000000 -404.000000 -181.626999	0.000 0.000 0.000	auto_ammo 2
ttt_random_weapon	2912.514160 -1331.278809 1089.205566	1.812 4.927 -92.741	auto_ammo 2
ttt_random_weapon	760.578186 -1323.468018 641.584167	0.941 -2.572 -93.802	auto_ammo 2
ttt_random_weapon	861.810242 -1316.021973 641.572632	1.211 4.699 -93.342	auto_ammo 2
ttt_random_weapon	749.456604 -1131.531006 833.206848	1.798 4.930 -92.775	auto_ammo 2
ttt_random_weapon	859.311707 -1217.036743 833.213684	1.720 4.926 -92.952	auto_ammo 2
ttt_random_weapon	790.922607 -1158.072632 705.213745	1.720 4.926 -92.952	auto_ammo 2
ttt_random_weapon	754.454224 -1137.393433 577.200134	1.874 4.930 -92.601	auto_ammo 2
ttt_random_weapon	681.488403 -1049.225220 449.215302	1.937 4.784 -92.455	auto_ammo 2
ttt_random_weapon	890.894165 -1053.622192 385.205627	1.812 4.928 -92.742	auto_ammo 2
ttt_random_weapon	1908.913452 -1338.531738 65.219711	1.653 5.287 -93.106	auto_ammo 2
