# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_waterworld_tropical
# Exported by: niclas
setting:	replacespawns 1
weapon_ttt_smokegrenade	-950.462708 -4198.214355 -206.403046	2.501 -0.128 -2.600
weapon_ttt_smokegrenade	-953.469238 -4189.705566 -206.397980	2.355 -0.127 -2.446
weapon_ttt_smokegrenade	-1316.027710 -4197.983887 -206.465286	1.392 0.011 -1.226
weapon_ttt_smokegrenade	-1310.558716 -4191.067871 -206.410080	2.627 -0.128 -2.718
weapon_ttt_smokegrenade	-133.321747 -2485.395752 -254.299850	-50.054 158.155 93.280
weapon_ttt_smokegrenade	-1455.610718 -2432.541504 -242.675812	3.140 0.802 -103.231
weapon_ttt_smokegrenade	-701.459961 -2457.675049 -254.226791	-89.734 149.392 129.232
weapon_ttt_smokegrenade	-75.778984 -2402.036377 -242.802704	69.019 -13.839 -133.365
weapon_ttt_smokegrenade	1298.113281 -2326.817383 -233.003143	1.235 1.669 -7.075
weapon_ttt_smokegrenade	112.144081 -1099.456909 328.575531	3.059 -0.123 -3.147
weapon_ttt_smokegrenade	634.484131 -3317.877197 228.615280	1.966 -0.119 -2.039
weapon_ttt_smokegrenade	2831.618164 -2757.557617 258.120453	0.343 0.035 6.096
weapon_ttt_smokegrenade	2831.275391 -2745.190186 258.552643	0.351 0.036 6.099
weapon_ttt_smokegrenade	2807.765137 -1081.485718 -251.442947	3.505 -0.116 -3.612
weapon_ttt_smokegrenade	2802.594482 -1106.254883 -251.397034	2.322 -0.126 -2.395
weapon_ttt_smokegrenade	2338.128174 1154.920166 -203.481155	0.437 0.004 -0.116
weapon_ttt_smokegrenade	728.227112 249.218979 -272.447113	3.612 -0.108 -3.724
weapon_ttt_smokegrenade	132.867905 697.731934 -251.474365	0.635 0.009 -0.347
weapon_ttt_smokegrenade	-566.870361 743.507324 -251.466537	1.172 0.012 -0.954
weapon_ttt_smokegrenade	-815.267395 519.235168 -11.733621	1.810 2.093 3.957
weapon_ttt_smokegrenade	-3635.079834 641.323120 -211.930801	-0.173 1.147 2.631
weapon_ttt_smokegrenade	-3634.592773 659.647644 -211.925186	1.307 -0.019 2.558
weapon_ttt_smokegrenade	-3650.715576 662.091858 -212.015228	0.123 0.014 0.732
weapon_ttt_smokegrenade	-3666.876221 661.255615 -211.959778	1.466 -0.004 2.870
weapon_ttt_smokegrenade	-3716.890869 654.976746 -211.974701	1.223 -0.026 2.400
weapon_ttt_smokegrenade	-3713.963135 634.995667 -211.889542	-0.172 0.088 2.285
weapon_ttt_smokegrenade	-3007.973145 -1478.720337 -243.415955	2.730 -0.135 -2.802
weapon_ttt_smokegrenade	-3012.312256 -1250.169556 -243.423080	0.925 0.015 0.535	auto_ammo 2
ttt_random_weapon	-1596.917236 -4748.212891 -254.800583	1.882 4.926 -92.582	auto_ammo 2
ttt_random_weapon	-1635.308105 -4666.119141 -254.795029	1.819 4.928 -92.725	auto_ammo 2
ttt_random_weapon	-1867.298706 -4682.454590 -254.790100	1.764 4.928 -92.852	auto_ammo 2
ttt_random_weapon	-1858.873657 -4761.920898 -254.770966	1.547 4.915 -93.348	auto_ammo 2
ttt_random_weapon	-1982.850098 -4743.479980 -254.800583	1.882 4.926 -92.582	auto_ammo 2
ttt_random_weapon	-1980.451172 -4088.500488 -254.760620	1.430 4.904 -93.616	auto_ammo 2
ttt_random_weapon	-1878.643677 -4087.017334 -254.772156	1.561 4.916 -93.317	auto_ammo 2
ttt_random_weapon	-1941.536255 -4395.490723 -254.781006	1.661 4.923 -93.088	auto_ammo 2
ttt_random_weapon	-1946.059814 -4295.192871 -254.797028	1.842 4.927 -92.673	auto_ammo 2
ttt_random_weapon	-1384.753418 -4738.294922 -233.488373	1.889 7.530 -91.977	auto_ammo 2
ttt_random_weapon	-1511.113037 -4673.840820 -233.523987	10.246 -11.288 -8.963	auto_ammo 2
ttt_random_weapon	-1011.945007 -4740.570801 -233.381958	2.370 9.147 -91.442	auto_ammo 2
ttt_random_weapon	-789.321045 -4671.489746 -233.536591	12.086 -17.643 -8.048	auto_ammo 2
ttt_random_weapon	-1173.090942 -4276.660156 -254.800598	1.882 4.926 -92.582	auto_ammo 2
ttt_random_weapon	-1306.873047 -4256.528320 -254.801331	1.890 4.927 -92.563	auto_ammo 2
ttt_random_weapon	-1017.264404 -4276.429199 -254.781891	1.671 4.924 -93.065	auto_ammo 2
ttt_random_weapon	-1487.337036 -4068.877197 -254.779709	1.646 4.922 -93.121	auto_ammo 2
ttt_random_weapon	-777.227112 -4050.558838 -254.806046	1.943 4.925 -92.441	auto_ammo 2
ttt_random_weapon	-411.979950 -4059.804199 -254.791885	1.784 4.928 -92.806	auto_ammo 2
ttt_random_weapon	-321.123138 -4070.856445 -254.770401	1.541 4.915 -93.362	auto_ammo 2
ttt_random_weapon	-308.849030 -4253.125977 -254.799850	1.874 4.930 -92.601	auto_ammo 2
ttt_random_weapon	-323.718536 -4348.169922 -254.784744	1.703 4.926 -92.991	auto_ammo 2
ttt_random_weapon	-323.521088 -4725.470215 -254.809418	1.981 4.920 -92.354	auto_ammo 2
ttt_random_weapon	-443.726318 -4779.843262 -254.778076	1.628 4.921 -93.163	auto_ammo 2
