# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_westwood_v4
# Exported by: niclas
setting:	replacespawns 1
weapon_ttt_smokegrenade	2157.093018 -134.144547 -104.266792	-73.823 -48.245 133.156
weapon_ttt_smokegrenade	2171.030518 -141.460663 -105.905060	-8.007 177.086 78.445
weapon_ttt_smokegrenade	2158.429443 -128.232986 -103.220802	-44.426 -14.602 106.055
weapon_ttt_smokegrenade	2139.601318 -134.223114 -104.437973	46.581 167.777 -106.729
weapon_ttt_smokegrenade	2136.845703 -153.334183 -108.275391	-34.339 -10.034 103.919
weapon_ttt_smokegrenade	2319.443359 132.331100 -82.850922	-0.096 -0.025 0.306
weapon_ttt_smokegrenade	2318.902832 106.527512 -82.984276	-0.205 -0.137 -0.341
weapon_ttt_smokegrenade	2523.897705 -784.590881 -107.472939	0.727 0.010 -0.470
weapon_ttt_smokegrenade	2053.099365 -553.644836 196.581177	2.880 -0.129 -2.981
weapon_ttt_smokegrenade	2392.224121 -567.868774 196.599670	2.368 -0.128 -2.446
weapon_ttt_smokegrenade	1399.286377 -625.526367 188.621353	1.760 -0.118 -1.816
weapon_ttt_smokegrenade	1069.300293 -643.078308 188.536240	1.956 0.004 -1.840
weapon_ttt_smokegrenade	-85.841736 410.339050 84.550308	3.743 -0.133 -3.892
weapon_ttt_smokegrenade	462.701324 477.312500 -115.484268	0.384 0.003 -0.072
weapon_ttt_smokegrenade	440.996857 479.261047 -115.432121	3.258 -0.145 -3.379
weapon_ttt_smokegrenade	409.475342 484.320587 -115.436127	3.353 -0.129 -3.476
weapon_ttt_smokegrenade	367.819336 1368.394165 -54.787449	0.417 0.003 -0.034
weapon_ttt_smokegrenade	357.950775 1347.489136 -54.729893	3.188 -0.137 -3.272
weapon_ttt_smokegrenade	355.210876 1394.719971 -54.768398	1.409 0.011 -1.169
weapon_ttt_smokegrenade	659.286194 -64.083672 -106.046295	75.117 51.540 -137.372
weapon_ttt_smokegrenade	916.946167 162.418335 -123.437759	0.203 -0.210 -0.038
weapon_ttt_smokegrenade	878.845825 665.254333 -75.481903	0.426 0.004 -0.122
ttt_random_weapon	1488.223755 281.942352 -126.782753	1.661 5.719 -93.165	auto_ammo 2
ttt_random_weapon	1309.815308 320.896057 65.236526	1.462 4.782 -93.542	auto_ammo 2
ttt_random_weapon	1221.364868 284.314209 65.213028	1.728 4.770 -92.933	auto_ammo 2
ttt_random_weapon	1365.904541 178.998276 -110.793961	1.807 4.775 -92.753	auto_ammo 2
ttt_random_weapon	1298.991333 82.870308 65.217491	1.678 4.766 -93.049	auto_ammo 2
ttt_random_weapon	1395.183594 69.289284 65.195305	1.928 4.784 -92.476	auto_ammo 2
ttt_random_weapon	1193.676270 62.988274 65.200615	1.868 4.779 -92.613	auto_ammo 2
ttt_random_weapon	1372.095337 214.877014 65.193680	1.946 4.785 -92.434	auto_ammo 2
ttt_random_weapon	1721.798584 -293.989685 -126.776131	1.590 5.721 -93.310	auto_ammo 2
ttt_random_weapon	1702.044312 -208.647049 -126.796936	1.812 5.715 -92.855	auto_ammo 2
ttt_random_weapon	1497.040649 -318.303864 -126.835747	2.224 5.692 -92.008	auto_ammo 2
ttt_random_weapon	1502.631836 -236.980896 -126.821785	2.076 5.700 -92.312	auto_ammo 2
ttt_random_weapon	2385.854248 177.670685 -126.845154	2.323 5.662 -91.803	auto_ammo 2
ttt_random_weapon	2415.249268 129.543625 -126.800476	1.850 5.713 -92.777	auto_ammo 2
ttt_random_weapon	2395.193848 -132.901932 -126.778427	1.615 5.721 -93.260	auto_ammo 2
ttt_random_weapon	807.863037 871.679260 -110.767654	1.510 4.754 -93.433	auto_ammo 2
ttt_random_weapon	750.566589 864.071716 -110.809715	1.985 4.788 -92.346	auto_ammo 2
ttt_random_weapon	750.340637 976.759827 -110.782051	1.673 4.766 -93.061	auto_ammo 2
ttt_random_weapon	593.215210 747.778076 64.641197	2.372 4.767 -91.312	auto_ammo 2
ttt_random_weapon	489.045563 387.843719 -1.800844	1.885 4.781 -92.575	auto_ammo 2
ttt_random_weapon	498.978851 234.160355 -1.793330	1.800 4.775 -92.769	auto_ammo 2
